Gig Name,Character Length
"DOLE NIGHT w/ W.O.M.B.A.T and The Antics.",41
"Kick On Residency w/ Skiptons + Pink Lady + Smoking Caterpillar",63
"THE OLD BAR KARAOKE. HOSTED BY DRAG KING SILVIO DI BACI w. DJ CYBER BULLY",73
"The Mark Fitzgibbon Trio   ",27
"Grace Petrie (UK)",17
"Tinkle",6
"The Sweet Souls (Front Bar)",27
"Lotte Gallagher",15
"The Whitlams (Love This City 25 Years)",38
"Anne's Lace (Single Launch)",27
"Noah and The Coldmen TAKE single launch",39
"Beka - Back Catalogue BOWIE, Intimate & Acoustic",48
"Kebabwaffles",12
"Nafe Smallz",11
"Jamie Hay w/ Hanny J + Josh Newman",34
"Ahhh! Real Monsters of Melbourne - Night #2",43
"THURSDAYS WITH THE RAILWAY GANG",31
"Scott Tinkler Standards Quartet!",32
"Alma Zygier",11
"The Scott Tinkler Standards Quartet! w/ Sam Keevers, Sam Anning and Dave Beck",77
"NoTurns w/ Erica Avenue + Lonely River +Dante C.Z",49
"ANGLERR + MIDNIGHT VIOLET",25
"Blow",4
"Mankind ""Home Away From Home"" Tour w/Human Intrusion & Ze Wisenhemier",69
"Standing Circle (live)",22
"Rave Culture x Astra",20
"Fishermans Friends + Cantrips",29
"Acoustic Act",12
"Asanti Beats",12
"Pub Drag W/ Missy La Minx & Special Guests",42
"Night of X Music and Other Things",33
"Hot Girl Dance Party",20
"GUSH 'The Stars Seem Closer Than You Are' RELEASE TOUR (VIC) W/ SPOUSE + ES MUSS SEIN",85
"Large Mirage With Ramona Sky and The Halves",43
"The Fox Soundtrack",18
"b420 Presents: Dampiera",23
"Honeymoon Phase",15
"3-2-1",5
"Esse & Nylstoch + Stina Tester",30
"Quiet Blue presents ‘A Million Miles’ Album Launch @ The Gaso (upstairs)",72
"GEM FEST",8
"GHOSTSMOKER at The Old Bar",26
"The Whitlams (Love This City 25 Years)",38
"Lets Get Shitwrecked!!",22
"The Stephen Magnusson Trio",26
"heartbreaker",12
"Spire & Midnight Odyssey, with special guests Petrol",52
"'The Spring Tour' ft. Drastic Park",34
"Blood of a Pomegranate, Caustic Grip, Sulphur Garden + Worthless Scum",69
"Birds Are Spies ‘Spin’ Single Launch",36
"Love Sensation",14
"Laura Norda KITTY Single Launch with Racoo and Al Matcott (solo)",64
"Smoking Vinyl (Front Bar)",25
"The Rookies",11
"SL*T POP RAVE ",14
"Salarymen – Day By Day EP Tour",30
"Mikey Goodfellow",16
"Karate Boogaloo & The Pro-Teens live at The Night Cat",53
"DJ",2
"CLASSIX - Fridays",17
"Groove Alliance",15
"Luma Kova (Stingrays Upstairs + Proponent Records)",50
"Disco Jungle Day Party",22
"FREE ENTRY ARVO SHOW w/ RJ ANDREW + SEAN SIMMONS + TAMMY HAIDER",63
"GEM FEST",8
"Acoustic Music",14
"DJ Relaxative + Meadow Soprano",30
"The Coward Man Experience (Melbourne Fringe Festival)",53
"The Fox Soundtrack",18
"Fax Machine",11
"SOLAR WAX E.P. LAUNCH W/ Soulutations & Jazzy Faith",51
"Shadow Tussle EP Launch With special guests INX XIRA and LIAM WATTS",67
"19368 Days Birthday",19
"MAGPIE CHARITY FUNDRAISER",25
"Peak Park - Daylight Single Launch",34
"MACKENZY MACKAY",15
"The Whitlams (Love This City 25 Years)",38
"The Dale Barlow Quartet!",24
"Gun Laws with Low Monroe and The Fugitives",42
"SHOVE - Album launch",20
"Coolabah Kings: ""Green Leopards"" Single Launch",46
"The Dale Barlow Quartet special guest Mat Jodrell",49
"ENDLESS CREATIVE PRESENTS F2F",29
"Tillerman Pete (EP Launch)",26
"Owelu Dreamhouse - Africa Baba single launch",44
"Girls Night Out! Vena Cava @ Bad Decisions Bar",46
"The Dale Barlow Quartet!",24
"Mankind (TAS) w/ Remit + Town Ace",33
"BOB LOG IS BACK FROM THE U.S !!!",32
"Eat The Beat",12
"Prayerbabies: where dreams are made of",38
"Saturday Night DJ",17
"B2B Sophie Olivia Goodestboialive",33
"Honky Tonk",10
"Saturday Night DJ",17
"Glamorama Saturdays - Gratts b2b Donald's House",47
"Resident DJ - Saturday",22
"Resident DJ",11
"DJ",2
"LAUNDRY ~ Saturdays",19
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"Ones,Mike Gurrieri,Kgomotso",27
"DJ (Rooftop)",12
"Cosmic Psychos",14
"Habibi Hafla",12
" The Melbourne Blues Collective ",32
"'9 TO 5 - TEAM BUILDING NIGHT' - WORKSHOP & MOVIE NIGHT",55
"Stingo Blues",12
"NEARER+EVERYBODY HATES ME LAUNCH",32
"Sunshine Tip",12
"Danimal",7
"Fans of the People",18
"The Whitlams (Love This City 25 Years)",38
"Vinted Vineer - Tobi Yume Album Tour",36
"Black Jesus Experience",22
"Domingo Latino - El Bembe Orchestra",35
"Rimmy Grasa - Live at Bad Decisions",35
"Gypsy Company",13
"The Thing From Spring (live)",28
"NIEUW MONDAYS",13
"FREE ENTRY MORBID MONDAYS: OCEAN LORD + SPACEJUNK",49
"Barracouta",10
"Make It Up Club",15
"BOADZ",5
"Afro Space Jazz Industry",24
"The Outernet",12
"FREE ENTRY OLD BAR KARAOKE",26
"The Mark Fitzgibbon Trio   ",27
"Kick On Residency w/ MILKSICK + Crushed Lavender + Chloe Booth",62
"Ari Davis",9
"Afro Space Jazz Industry",24
"The Outernet",12
"FREE ENTRY OLD BAR KARAOKE",26
"Kick On Residency w/ MILKSICK + Crushed Lavender + Chloe Booth",62
"The Mark Fitzgibbon Trio   ",27
"Ari Davis",9
"An Evening of poetry & music with TREV CIMENSKI",47
"Tinkle",6
"Surfriders Present School Disco",31
"For Swings Sake (Front Bar)",27
"Rakhi's",7
"Nobody No Spirit Halloween X EP Launch",38
"Grevillea Hedge - ‘Radicalism’ single launch with Detsi and Kelsey Jean and The Bad Health",90
"JULIUS + Special Guests",23
"NSG Australia Tour 2024",23
"Phil Franklin of The Mint, Electric Self, Esse & The Brave New Sounds",69
"The Seven Ups - EP Launch",25
"GENTLES + GUN LAWS + ANOTHER ROTTING CORPSE",43
"Laneous and Friends",19
"THURSDAYS WITH THE RAILWAY GANG",31
"RICKY ALBECK",12
"Matt Steele Quartet",19
"Breaking Sound Melbourne",24
"Blow",4
